GTIN,BARCODE,RMS_CODE,DESCRIPTION,CONCEPT_GROUP,BRAND,RETURN_POLICY,SUPPLIER_NAME,ALSHAYA_CODE,RETURNABLE
,,335529329,VIDAMAX ENCOLLAGEN DRINKABLE SHOTS 50ML 10S,VITAMINS/MINERALS/SUPPLEMENTS,VIDAMAX,NO RETURN / NO REPLACEMENT,AD PORT,,
,,220062320,APROPOS EAR DROPS 20 ML,EYE/EAR CARE,APROPOS,NO RETURN / NO REPLACEMENT,ADVANCIES,,
,,220054804,APROPOS NASAL SPRAY 25 ML,GSL,APROPOS,NO RETURN / NO REPLACEMENT,ADVANCIES,,
,,220075473,APROPOS THROAT SPRAY ADULT,GSL,APROPOS,NO RETURN / NO REPLACEMENT,ADVANCIES,,
,,220050512,APROPOS THROAT SPRAYCHILD 25ML,CHILDRENS HEALTH,APROPOS,NO RETURN / NO REPLACEMENT,ADVANCIES,,
,,220214250,COSRX ADVANCED SNAIL96 PWR ESSENCE100ML,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,220214357,COSRX LOW PH GOOD MORNING CLEANSER 150ML,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,220214523,COSRX AHA/BHA CLARIFY TONER 150ML,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,220214539,COSRX ADVANCED SNAIL92 CREAM 100GM,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,220214613,COSRX ALOE SOOTHNG SUN CREAM SPF50 50ML,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,220214954,COSRX SALICYLIC GENTLE CLEANSER 150ML,SKINCARE,COSRX,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,341889605,ANUA AZELAIC HYALURON SOOTHING SERUM 30ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,335919721,BEAUTY OF JOSEON GLOW DEEP SERUM : RICE +ALPHA-ARBUTIN,SKINCARE,BEAUTY OF JOSEON,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,341884669,DR. ALTHEA PURE GRINDING CLEANSING BALM 50ML,SKINCARE,DR ALTHEA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,341860048,DR. ALTHEA OASIS SOOTHING MASK (5EA),SKINCARE,DR ALTHEA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,335890124,ANUA HEART LEAF PORE CONTROL CLEANSING OIL 200ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,335914779,ANUA PEACH 70 NIACIN SERUM 30ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,340474570,ANUA HEARTLEAF 77 SOOTHING TONER 250ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,340439601,ANUAHEARTLEAF QUERCETINOL PORE DEEP CLEANSING FOAM 150ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,340469575,ANUA NIACINAMIDE10 TXA 4 30ML RENEWAL,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,340464614,ANUA PEACH 77 NIACIN ESSENCE TONER 250ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,340444600,ANUA HEARTLEAF 70 INTENSE CALMING CREAM 50ML,SKINCARE,ANUA,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,335914775,BEAUTY OF JOSEON GLOW SERUM,SKINCARE,BEAUTY OF JOSEON,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
,,335870028,BEAUTY OF JOSEON RELIEF SUN RICE PROBIOTICS,SKINCARE,BEAUTY OF JOSEON,3 MONTHS BEFORE EXPIRY DATE,AJA INTERNATIONAL GENERAL TRADING LLC,,
